"","Cumulative_Return","Mean_Geometric_Return","Min_Return","10_days_MaxDrawdown","Volatility","Sharpe_Ratio","skewness","kurtosis","VaR","CVaR"
"Bf_c",1.230492124954,0.00205571594370757,-0.0169864364699815,0.04050070936168,0.00823681011408558,0.250374589655923,-0.189611472872288,-0.559032826940573,-0.0119205170914031,-0.0147081640451442
"Med_c",0.715950180935581,-0.00330289670460393,-0.0343313608335685,0.112866883178655,0.00953742538708849,-0.34276290256699,-0.0644881058595123,0.542394632046742,-0.018936853385569,-0.023948173466661
"Aft_c",1.84743573739894,0.00609571748755178,-0.0135233963403664,0.0142551684310587,0.00937878767152391,0.654378660447365,0.8786470329035,1.70643572589736,-0.00642386641140727,-0.00894897879767327
