"","Cumulative_Return","Mean_Geometric_Return","Min_Return","10_days_MaxDrawdown","Volatility","Sharpe_Ratio","skewness","kurtosis","VaR","CVaR"
"Bf_c",1.03739069922103,0.000363517714225381,-0.0140293636519424,0.0367491189948792,0.00626949581231683,0.0567830822250601,-0.162406499641169,-0.783287767760752,-0.0102617595662843,-0.0120645333560575
"Med_c",1.03141829102163,0.000306332421545097,-0.0382673791275723,0.0823975268263951,0.0124766353220193,0.0297837490724749,0.634845575821072,1.21421917346765,-0.0173988678018363,-0.0209352730065305
"Aft_c",1.03819065664817,0.000371152471943637,-0.0115485938008244,0.0326211407882531,0.00488916825038134,0.0780279066323083,-0.0230443607598293,-0.511038737674359,-0.00770106424438075,-0.00931771480142515
